epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8992441296577454,0.3303239345550537,0.9346536993980408,0.19401295483112335
1,0.9235484600067139,0.20954927802085876,0.9277275800704956,0.19892658293247223
2,0.9278373122215271,0.19868049025535583,0.9309011101722717,0.18562304973602295
3,0.9304732084274292,0.1911560297012329,0.9387769103050232,0.17366933822631836
4,0.9319932460784912,0.18763503432273865,0.9322677850723267,0.18264034390449524
5,0.9341418147087097,0.18275542557239532,0.938545286655426,0.17295721173286438
6,0.9357753992080688,0.17792679369449615,0.935348629951477,0.17569126188755035
7,0.9354459047317505,0.17752143740653992,0.9360203742980957,0.1776660978794098
8,0.9368247389793396,0.17528723180294037,0.9391707181930542,0.17242230474948883
9,0.9373508095741272,0.1735011339187622,0.9386610984802246,0.17763647437095642
10,0.9378852248191833,0.17274419963359833,0.9394023418426514,0.17469963431358337
11,0.9384278655052185,0.17135576903820038,0.9361361861228943,0.18804338574409485
